Mon Feb 13 17:17:20 2023    profile.txt

         44404943 function calls (43686407 primitive calls) in 132.573 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.075    0.000    1.504    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow_probability\python\internal\prefer_static.py:61(wrap)
   284648    0.074    0.000    0.074    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    79218    0.073    0.000    0.073    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer_utils.py:587(__exit__)
       50    0.072    0.001    0.072    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\matplotlib\_api\deprecation.py:154(_deprecated_property)
    16016    0.072    0.000    1.152    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\math_ops.py:1399(binary_op_wrapper)
     3200    0.072    0.000    0.142    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop_util.py:49(IsTrainable)
    35600    0.072    0.000    1.253    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_array_ops.py:11634(shape)
    79218    0.072    0.000    0.072    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\utils\layer_utils.py:797(split_out_first_arg)
   210891    0.071    0.000    0.071    0.000 {method 'pop' of 'list' objects}
     9600    0.071    0.000   10.655    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_grad.py:676(_MaxPoolGrad)
   158436    0.070    0.000    0.113    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:3643(<genexpr>)
   102464    0.070    0.000    0.071    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsCompositeTensor}
     3600    0.069    0.000    0.872    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow_probability\python\distributions\distribution.py:535(__init__)
    69675    0.068    0.000    9.821    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\constant_op.py:302(_constant_eager_impl)
    98864    0.068    0.000    0.068    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsTypeSpec}
71232/64018    0.067    0.000    0.430    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\trackable\data_structures.py:131(sticky_attribute_assignment)
    79218    0.067    0.000    0.067    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer_utils.py:565(__init__)
    82723    0.066    0.000    0.111    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:1675(currentframe)
     7165    0.066    0.000    0.109    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:744(cleandoc)
    79218    0.066    0.000    0.104    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\mixed_precision\autocast_variable.py:570(__enter__)
      489    0.064    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
    29792    0.064    0.000    0.064    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3600    0.062    0.000    1.961    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow_probability\python\distributions\categorical.py:35(_broadcast_cat_event_and_params)
     3200    0.062    0.000   49.930    0.016 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:1007(gradient)
18000/16000    0.061    0.000    0.324    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow_probability\python\internal\backend\numpy\ops.py:140(_convert_to_tensor)
    95264    0.061    0.000    0.061    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMappingView}
   106470    0.061    0.000    0.203    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\dtypes.py:76(base_dtype)
    95264    0.061    0.000    0.061    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMapping}
    48402    0.060    0.000    0.272    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_util.py:808(constant_value)
    95264    0.060    0.000    0.060    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsAttrs}
     4800    0.060    0.000    1.466    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\math_grad.py:1348(_MulGrad)
    79205    0.060    0.000    0.076    0.000 C:\Users\mailv\miniconda3\lib\contextlib.py:514(_push_exit_callback)
     3200    0.059    0.000    0.958    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\math_grad.py:141(_SumGrad)
    17200    0.059    0.000    0.786    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\decorator.py:199(fix)
    23242    0.059    0.000    0.131    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\numpy\core\numeric.py:1878(isscalar)
    69677    0.059    0.000   10.152    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\constant_op.py:170(constant)
